Candidate_ID,Name,Years_of_Experience,Education,Skills,Certifications,Resume_Text,Hired
C024,Candidate 24,12,M.Tech,"C++, React, Java",PMP,Experienced in Java and Web Development. Worked on projects in Backend Development. Certifications: Google Cloud.,0
C025,Candidate 25,14,M.Sc,"C++, Java, NLP",None,Experienced in Python and Web Development. Worked on projects in Backend Development. Certifications: AWS.,1
C026,Candidate 26,6,M.Tech,"Machine Learning, Python, React",None,Experienced in Python and Machine Learning. Worked on projects in NLP. Certifications: Google Cloud.,0
C027,Candidate 27,2,M.Tech,"TensorFlow, Python, Machine Learning",AWS Certified,Experienced in C++ and Machine Learning. Worked on projects in NLP. Certifications: PMP.,0
C028,Candidate 28,12,M.Sc,"C++, TensorFlow, React",None,Experienced in C++ and Machine Learning. Worked on projects in Backend Development. Certifications: Google Cloud.,1
C029,Candidate 29,5,PhD,"TensorFlow, NLP, SQL",Scrum Master,Experienced in C++ and Data Science. Worked on projects in Computer Vision. Certifications: Google Cloud.,0
C030,Candidate 30,1,M.Tech,"SQL, Java, TensorFlow",None,Experienced in Java and Web Development. Worked on projects in NLP. Certifications: Google Cloud.,0
C031,Candidate 31,12,M.Tech,"C++, NLP, SQL",AWS Certified,Experienced in C++ and Web Development. Worked on projects in Backend Development. Certifications: PMP.,0
C032,Candidate 32,10,M.Sc,"C++, Java, Python",Scrum Master,Experienced in Python and Data Science. Worked on projects in NLP. Certifications: None.,0
C033,Candidate 33,6,M.Tech,"NLP, TensorFlow, SQL",Google Cloud,Experienced in Java and Data Science. Worked on projects in Computer Vision. Certifications: Google Cloud.,1
C034,Candidate 34,13,M.Tech,"Python, TensorFlow, NLP",None,Experienced in Java and Machine Learning. Worked on projects in Computer Vision. Certifications: None.,0
C035,Candidate 35,12,M.Sc,"Machine Learning, SQL, TensorFlow",AWS Certified,Experienced in C++ and Web Development. Worked on projects in Backend Development. Certifications: Google Cloud.,1
C036,Candidate 36,9,M.Sc,"React, Python, TensorFlow",Google Cloud,Experienced in Java and Machine Learning. Worked on projects in Backend Development. Certifications: PMP.,0
C037,Candidate 37,1,B.Tech,"NLP, TensorFlow, SQL",Google Cloud,Experienced in C++ and Web Development. Worked on projects in Backend Development. Certifications: AWS.,0
C038,Candidate 38,11,PhD,"NLP, Machine Learning, React",PMP,Experienced in C++ and Data Science. Worked on projects in Backend Development. Certifications: PMP.,0
C039,Candidate 39,11,PhD,"Machine Learning, React, NLP",Scrum Master,Experienced in C++ and Web Development. Worked on projects in Backend Development. Certifications: Google Cloud.,0
C040,Candidate 40,10,M.Tech,"C++, Python, TensorFlow",None,Experienced in C++ and Machine Learning. Worked on projects in NLP. Certifications: AWS.,1
C041,Candidate 41,12,PhD,"Java, NLP, TensorFlow",AWS Certified,Experienced in C++ and Machine Learning. Worked on projects in Computer Vision. Certifications: None.,1
C042,Candidate 42,12,M.Tech,"SQL, React, NLP",PMP,Experienced in C++ and Machine Learning. Worked on projects in Backend Development. Certifications: Google Cloud.,0
C043,Candidate 43,14,B.Tech,"Machine Learning, SQL, TensorFlow",Scrum Master,Experienced in Java and Machine Learning. Worked on projects in Backend Development. Certifications: None.,0
C044,Candidate 44,14,M.Sc,"Java, Python, TensorFlow",PMP,Experienced in Python and Machine Learning. Worked on projects in Backend Development. Certifications: PMP.,1
C045,Candidate 45,14,M.Sc,"Machine Learning, Java, NLP",Scrum Master,Experienced in Java and Web Development. Worked on projects in Computer Vision. Certifications: Google Cloud.,0
C046,Candidate 46,3,M.Sc,"Machine Learning, NLP, C++",Scrum Master,Experienced in Python and Data Science. Worked on projects in Computer Vision. Certifications: None.,0
C047,Candidate 47,12,PhD,"TensorFlow, Python, Machine Learning",None,Experienced in C++ and Machine Learning. Worked on projects in Backend Development. Certifications: Google Cloud.,0
C048,Candidate 48,7,B.Tech,"SQL, React, Machine Learning",Scrum Master,Experienced in Python and Data Science. Worked on projects in Computer Vision. Certifications: AWS.,1
C049,Candidate 49,4,PhD,"TensorFlow, C++, NLP",PMP,Experienced in C++ and Web Development. Worked on projects in Computer Vision. Certifications: AWS.,1
C050,Candidate 50,9,PhD,"TensorFlow, NLP, Python",Scrum Master,Experienced in Python and Data Science. Worked on projects in NLP. Certifications: Google Cloud.,1
